"id","response_id","respondent_id","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02","originality","utility","surprise","human","semdis"
366,2022040366,"cmpl-4zrbcJSjnrQGQryl58b1WsAPwo0An","tin can","be used to hold paperclips or other small office supplies",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.334358692169189
368,2022040368,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","telephone",NA,NA,NA,3,3,2,3,3,2,"GPT-3",0.742841094732285
369,2022040369,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","lantern",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.625743478536606
370,2022040370,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","plant pot",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.545723438262939
371,2022040371,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","vase",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.65122127532959
372,2022040372,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","bird feeder",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.62629634141922
373,2022040373,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","An ashtray",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.542486399412155
374,2022040374,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","pencil holder",2,5,1,2,5,1,2,5,1,"GPT-3",0.56465607881546
375,2022040375,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","paintbrush holder",NA,NA,NA,3,5,2,3,5,2,"GPT-3",0.629073828458786
376,2022040376,"cmpl-4zrbgvVmZ78Tof0ZmGZSQtMyJiKFW","tin can","coin bank",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.570426911115646
377,2022040377,"cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr","tin can","small planter for succulents or cacti",3,4,3,3,5,3,3,4,3,"GPT-3",0.530136197805405
378,2022040378,"cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr","tin can","pencil holder by painting it and adding some fun embellishments",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.415325880050659
379,2022040379,"cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr","tin can","Use a tin can to make your own mini pinata filled with candy or other treats",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.233096778392792
380,2022040380,"cmpl-4zrbjCwsB0SqWvKxicy8LGk53flyr","tin can","Cut out stars from paper and glue them onto",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.392961919307709
381,2022040381,"cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu","tin can","could be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.35147762298584
382,2022040382,"cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu","tin can","a candle holder",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.454844057559967
383,2022040383,"cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu","tin can","hold pencils or pens on a desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.428188621997833
384,2022040384,"cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu","tin can","hold makeup brushes on a vanity",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.478297114372253
385,2022040385,"cmpl-4zrboUMyMByxhbrNsfLQZLnzSQJGu","tin can","store coins or other small items",2,5,1,1,5,1,2,5,1,"GPT-3",0.373903691768646
387,2022040387,"cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA","tin can","be used as a coin bank",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.37091076374054
388,2022040388,"cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA","tin can","be used to store pencils and pens",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.377040028572083
389,2022040389,"cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA","tin can","be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.377679824829102
390,2022040390,"cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA","tin can","be used as a container for homemade candles",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.315598845481873
391,2022040391,"cmpl-4zrbtwe2uJcyLmGuEpGSsyDFGMDBA","tin can","be used as a planter for small plants or herbs",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.352933883666992
393,2022040393,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Make a tin can telephone",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.171595931053162
394,2022040394,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Use it as a coin bank",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.370855212211609
395,2022040395,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Turn it into a vase or planter",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.343182325363159
396,2022040396,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Make a lantern out of it",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.363485157489777
397,2022040397,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Use it as part of a homemade wind chime or mobile",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.349001169204712
398,2022040398,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Decorate it and use it as a gift box or jewelry holder",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.303468346595764
399,2022040399,"cmpl-4zrbwSX9olf2MYhbNdZkBNcAZCQil","tin can","Fill",NA,NA,NA,1,5,1,1,5,1,"GPT-3",0.479566872119904
400,2022040400,"cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4","tin can","vase for flowers",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.554228723049164
401,2022040401,"cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4","tin can","hold pens and pencils",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.507424056529999
402,2022040402,"cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4","tin can","coin bank",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.570426911115646
403,2022040403,"cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4","tin can","make a wind chime",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.414799928665161
404,2022040404,"cmpl-4zrc1U1RBUdlbhTUgAPDFfMfYh1z4","tin can","make a candle holder",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.370162069797516
406,2022040406,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","telephone",NA,NA,NA,3,3,2,3,3,2,"GPT-3",0.742841094732285
407,2022040407,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","candle holder",2,4,2,3,5,3,2,4,2,"GPT-3",0.519070982933044
408,2022040408,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","plant pot",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.545723438262939
409,2022040409,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","pencil holder",2,5,1,2,5,1,2,5,1,"GPT-3",0.56465607881546
410,2022040410,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","coin bank",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.570426911115646
411,2022040411,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","picture frame",4,3,3,4,2,5,4,3,3,"GPT-3",0.561060905456543
412,2022040412,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","vase",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.65122127532959
413,2022040413,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","Travel mug",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.54829466342926
414,2022040414,"cmpl-4zrc4u2VBu91FTQrKNvnOCHBqYgxm","tin can","dog bowl",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.514134585857391
415,2022040415,"cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0","tin can","Make a candle holder by punching holes in the top and bottom of the can",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.353894412517548
416,2022040416,"cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0","tin can","Turn it into a vase or planter",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.343182325363159
417,2022040417,"cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0","tin can","Use it as a pencil holder on your desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.372870743274689
418,2022040418,"cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0","tin can","Fill it with candy or other small treats and give it as a gift",3,4,2,NA,NA,NA,3,4,2,"GPT-3",0.339621901512146
419,2022040419,"cmpl-4zrc9anerQX6gOQWAFSdOcaJv26D0","tin can","Decorate it and use it as part of a centerpiece or table",3,4,2,NA,NA,NA,3,4,2,"GPT-3",0.360069334506989
420,2022040420,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","telephone",NA,NA,NA,3,3,2,3,3,2,"GPT-3",0.742841094732285
421,2022040421,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","lantern",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.625743478536606
422,2022040422,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","stove",NA,NA,NA,2,3,3,2,3,3,"GPT-3",0.637536495923996
423,2022040423,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","wind chime",NA,NA,NA,4,3,4,4,3,4,"GPT-3",0.597642928361893
424,2022040424,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","piñata",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.83614918589592
424,2022040424,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","pinata",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.83614918589592
425,2022040425,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","planter",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.679844856262207
426,2022040426,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","bird feeder",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.62629634141922
427,2022040427,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","candle holder",2,4,2,3,5,3,2,4,2,"GPT-3",0.519070982933044
428,2022040428,"cmpl-4zrcEwWIXCAMPu5UuJbCdaDxuIBFC","tin can","robot",NA,NA,NA,3,2,3,3,2,3,"GPT-3",0.744598597288132
429,2022040429,"cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST","tin can","Make a wind chime out of tin cans and metal spoons",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.200160086154938
430,2022040430,"cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST","tin can","Cut the top off a tin can and use it as a planter for small succulents or cacti",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.286398410797119
431,2022040431,"cmpl-4zrcIVXoehFFYCRYyynvdd5IJPIST","tin can","cute piggy bank by painting it pink and adding eyes nostrils and a coin slot in the top",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.386502623558044
432,2022040432,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","Plant a herb garden in tin cans",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.309807062149048
433,2022040433,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","Make a wind chime out of tin cans and beads",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.215846300125122
434,2022040434,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","Use tin cans as candle holders for an outdoor party",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.245909214019775
435,2022040435,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","Create a mini Zen garden in a tin can",4,3,4,NA,NA,NA,4,3,4,"GPT-3",0.26533305644989
436,2022040436,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","Make a robot out of recycled materials including tin cans",4,2,4,NA,NA,NA,4,2,4,"GPT-3",0.239673435688019
437,2022040437,"cmpl-4zrcMiOsRGzG85ajlnECUTr1dhMtt","tin can","night light",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.621136128902435
438,2022040438,"cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x","tin can","be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.377679824829102
439,2022040439,"cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x","tin can","be used to hold pens and pencils",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.363492727279663
440,2022040440,"cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x","tin can","be used as a container for plants",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.371200561523438
441,2022040441,"cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x","tin can","be used to store spices in the kitchen",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.355386018753052
442,2022040442,"cmpl-4zrcS09GhsrrIIplF2CvuIXFdP89x","tin can","be used to organize makeup brushes on a vanity table.",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.375341475009918
443,2022040443,"cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J","tin can","could be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.35147762298584
444,2022040444,"cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J","tin can","a pencil holder on a desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.465376377105713
445,2022040445,"cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J","tin can","could be used to hold makeup brushes on a dressing table",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.348970472812653
446,2022040446,"cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J","tin can","hold pens and markers in an art studio",3,4,2,NA,NA,NA,3,4,2,"GPT-3",0.440024197101593
447,2022040447,"cmpl-4zrcVORSuELIlbtqYbPvYTtqlY04J","tin can","could be used as a cookie jar",2,5,2,NA,NA,NA,2,5,2,"GPT-3",0.280973851680756
448,2022040448,"cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu","tin can","could be used as a planter for small plants or herbs",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.336035668849945
449,2022040449,"cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu","tin can","It could also be used as a candle holder",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.322260856628418
449,2022040449,"cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu","tin can","It could also be used as a candle holder",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.322260856628418
450,2022040450,"cmpl-4zrcYjzKqIIyHAfl5D4gYpEMjoKxu","tin can","For those who love baking a tin can be turned into a mini-loaf pan perfect for individual servings",4,3,4,NA,NA,NA,4,3,4,"GPT-3",0.261300146579742
452,2022040452,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be used as a makeshift candle",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.354108870029449
453,2022040453,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be used to store small items like paper clips or jewelry",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.299965023994446
454,2022040454,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.377679824829102
455,2022040455,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be used as a pen holder",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.36876368522644
456,2022040456,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be used as a coin bank",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.37091076374054
457,2022040457,"cmpl-4zrcbWi4mPn1Lgww0fOj0x3K3J11l","tin can","be turned into a wind chime",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.409726679325104
458,2022040458,"cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW","tin can","small planter for herbs or succulents",3,4,3,3,5,3,3,4,3,"GPT-3",0.453958988189697
459,2022040459,"cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW","tin can","Use a tin can to create a DIY candle holder or tea light holder",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.227635979652405
460,2022040460,"cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW","tin can","Make a mini pinata out of a tin can ‚Äì perfect for parties or decoration!",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.269537687301636
461,2022040461,"cmpl-4zrche9QeGMpmfsGYV3xuiIbbFgVW","tin can","Decorate a tin can and use it as cute storage for pens pencils",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.246138632297516
462,2022040462,"cmpl-4zrckGN0dM4lds8vCNfKvayt3Ir4z","tin can","Create a fun wind chime by painting and decorating tin cans of different sizes then punching holes in the top and bottom of each can. Suspend them from string or wire at different lengths to create unique tones",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.292829811573029
463,2022040463,"cmpl-4zrckGN0dM4lds8vCNfKvayt3Ir4z","tin can","Make a mini pinata by filling a small tin can with candy then covering the opening with paper and securing it with tape or glue",NA,NA,NA,4,3,5,4,3,5,"GPT-3",0.282771050930023
464,2022040464,"cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz","tin can","Make a wind chime out of a tin can and some string",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.267586410045624
465,2022040465,"cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz","tin can","plant holder by painting it and adding drainage holes",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.428010761737823
466,2022040466,"cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz","tin can","Use a tin can as a pencil holder on your desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.25522118806839
467,2022040467,"cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz","tin can","Make a mini trash can out of a tin can by decorating it and adding a lid",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.249569594860077
468,2022040468,"cmpl-4zrcoCBzGvxqYvlwl4T1Z9oAXzjjz","tin can","Create art by",3,3,2,3,3,2,3,3,2,"GPT-3",0.571836769580841
469,2022040469,"cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31","tin can","could be used as a vase for flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.35147762298584
470,2022040470,"cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31","tin can","a container for paintbrushes",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.465119481086731
471,2022040471,"cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31","tin can","could be used to hold pencils or pens on a desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.336810648441315
472,2022040472,"cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31","tin can","a planter for small plants or herbs",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.399749040603638
473,2022040473,"cmpl-4zrctu5fEjcEnja4LuWNvzRUHWU31","tin can","could be used to store coins",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.306191742420197
474,2022040474,"cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G","tin can","could be used as a vase",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.32991886138916
475,2022040475,"cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G","tin can","could be used as a container for pens and pencils",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.343244791030884
476,2022040476,"cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G","tin can","could be used as a coin bank",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.348695635795593
477,2022040477,"cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G","tin can","could be used to hold keys",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.33230859041214
478,2022040478,"cmpl-4zrcxpMw6Qkz2QWcvYNNxrTQAiJ5G","tin can","could be used as a paperweight",3,4,2,NA,NA,NA,3,4,2,"GPT-3",0.356992900371552
480,2022040480,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","Make a wind chime out of a tin can and some string",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.267586410045624
481,2022040481,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","Use a tin can as a plant pot",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.218807637691498
482,2022040482,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","pencil holder",2,5,1,2,5,1,2,5,1,"GPT-3",0.56465607881546
483,2022040483,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","Upcycle a tin can into a vase or candle holder",2,4,2,NA,NA,NA,2,4,2,"GPT-3",0.231638371944427
484,2022040484,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","Make your own mini trash can out of an old tin can",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.221973180770874
485,2022040485,"cmpl-4zrd1faKHBOm8Cxvlj8fYVq0YYNN0","tin can","Create illuminated lantern",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.520441710948944
486,2022040486,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","can opener",NA,NA,NA,3,2,4,3,2,4,"GPT-3",0.431707441806793
487,2022040487,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","colander",NA,NA,NA,4,3,4,4,3,4,"GPT-3",0.793215021491051
488,2022040488,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","candle holder",2,4,2,3,5,3,2,4,2,"GPT-3",0.519070982933044
489,2022040489,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","vase",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.65122127532959
490,2022040490,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","pen holder",2,5,1,2,5,1,2,5,1,"GPT-3",0.563439518213272
491,2022040491,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","An ashtray",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.542486399412155
492,2022040492,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","bird feeder",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.62629634141922
493,2022040493,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","wind chime",NA,NA,NA,4,3,4,4,3,4,"GPT-3",0.597642928361893
494,2022040494,"cmpl-4zrd524B8q1ksMWn7vFZYBuuX8IPn","tin can","planter",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.679844856262207
495,2022040495,"cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT","tin can","planter for small plants or herbs",3,4,3,3,5,3,3,4,3,"GPT-3",0.418413937091827
496,2022040496,"cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT","tin can","Cut the top off of a tin can and use it as a pencil holder on your desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.294101178646088
497,2022040497,"cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT","tin can","Use a tin can as a vase for fresh flowers",3,4,3,NA,NA,NA,3,4,3,"GPT-3",0.244463562965393
498,2022040498,"cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT","tin can","Make a wind chime out of old tin cans and some string or wire",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.248529195785522
499,2022040499,"cmpl-4zrdAUqGiLghD5AjfihSegqsCWnLT","tin can","Turn",NA,NA,NA,1,3,1,1,3,1,"GPT-3",0.503079921007156
500,2022040500,"cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB","tin can","vase",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.65122127532959
501,2022040501,"cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB","tin can","make a wind chime",3,3,2,NA,NA,NA,3,3,2,"GPT-3",0.414799928665161
502,2022040502,"cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB","tin can","planter",NA,NA,NA,3,5,3,3,5,3,"GPT-3",0.679844856262207
503,2022040503,"cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB","tin can","bird feeder",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.62629634141922
504,2022040504,"cmpl-4zrdDeq7FkGc7hNoiW5nBllPOvLaB","tin can","hold pencils or pens on a desk",2,5,1,NA,NA,NA,2,5,1,"GPT-3",0.428188621997833
505,2022050001,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
506,2022050002,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH","book","start a fire in an emergency situation",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.623315185308456
507,2022050003,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
508,2022050004,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH","book","prop up a table or chair leg that is wobbling",2,4,2,3,4,2,2,4,2,"GPT-3",0.634313076734543
509,2022050005,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH","book","coaster for drinks to protect",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.666555792093277
510,2022050006,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
511,2022050007,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","prop up a wobbly table",NA,NA,NA,3,4,2,3,4,2,"GPT-3",0.675155222415924
512,2022050008,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
513,2022050009,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","make a papier-mâché mask",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.771342679858208
513,2022050009,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","make a papier-mache mask",NA,NA,NA,3,3,3,3,3,3,"GPT-3",0.771342679858208
514,2022050010,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr","book","cut up and made into a collage",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.571782648563385
515,2022050011,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
516,2022050012,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5","book","hold up a table leg",2,4,2,3,4,2,2,4,2,"GPT-3",0.640725076198578
517,2022050013,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5","book","coaster for your beverage",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.664097130298615
518,2022050014,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5","book","fan yourself on a hot day",NA,NA,NA,3,5,2,3,5,2,"GPT-3",0.553721994161606
