id,,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor,category01,category02,category03,category04
cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,can make a great doorstop,can make a great doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,Don't have a coaster? No problem! Use a book instead,Don't have a coaster? No problem! Use a book instead,book,book,,,,,,,,118,,,
cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,If you're craftyyou can turn an old book into a unique journal.,If you're craftyyou can turn an old book into a unique journal.,book,book,,,,,,,,110,,,
cmpl-59yPqFCEaAhcYUpEWRfnp097rHus1,Tired of traditional placecards,Tired of traditional placecards,book,book,,,,,,,,110,,,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,can,can,book,book,,,,,,,,998,,,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,kill a spider,kill a spider,book,book,,,,,,,,111,,,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-59yPtlzHCZNKllLyUwK7VyA5kx0dz,start a fire in an emergency situation,start a fire in an emergency situation,book,book,,,,,,,,406,,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Bird house,Bird house,book,book,,,,,,,,105,101,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Bookend,Bookend,book,book,,,,,,,,121,102,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Cat bed/house,Cat bed/house,book,book,,,,,,,,105,101,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Decoration,Decoration,book,book,,,,,,,,109,127,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Dog house/kennel,Dog house/kennel,book,book,,,,,,,,105,101,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Doorstop,Doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Halloween decoration,Halloween decoration,book,book,,,,,,,,109,127,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Paperweight,Paperweight,book,book,,,,,,,,103,,,
cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,Planter,Planter,book,book,,,,,,,,123,,,
cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,make a papier-mâché sculpture,make a papier-mâché sculpture,book,book,,,,,,,,110,,,
cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,prop up a wobbly table,prop up a wobbly table,book,book,,,,,,,,113,121,106,
cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi,used as fuel for a bonfire,used as fuel for a bonfire,book,book,,,,,,,,406,,,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,Cover the top of a coffee table,Cover the top of a coffee table,book,book,,,,,,,,127,,,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,Create a memory box by decoupaging an old book with photos and mementos,Create a memory box by decoupaging an old book with photos and mementos,book,book,,,,,,,,110,,,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,jewelry box,jewelry box,book,book,,,,,,,,123,,,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,Make a book into a lampshade,Make a book into a lampshade,book,book,,,,,,,,127,110,123,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,Make a purse out of an old book,Make a purse out of an old book,book,book,,,,,,,,128,123,,
cmpl-59yPwhlYbej0ZZ97vhCtmafSY4p2A,Use old books as wall decor in your home,Use old books as wall decor in your home,book,book,,,,,,,,127,109,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Building a fort by surrounding yourself with stacked books,Building a fort by surrounding yourself with stacked books,book,book,,,,,,,,100,,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Creating a sculpture by stacking books in an interesting way,Creating a sculpture by stacking books in an interesting way,book,book,,,,,,,,110,109,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Drawing on the pages of a book,Drawing on the pages of a book,book,book,,,,,,,,110,,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Making a paper airplanes out of the pages of a book,Making a paper airplanes out of the pages of a book,book,book,,,,,,,,110,,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Tearing out pages of a book to use as confetti,Tearing out pages of a book to use as confetti,book,book,,,,,,,,110,127,,
cmpl-59yPzZM1aaw99c6pJfULbmXj7zKGC,Using a book as a doorstop,Using a book as a doorstop,book,book,,,,,,,,113,123,,
cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,cut open and its pages used as wrapping paper or for other crafts,cut open and its pages used as wrapping paper or for other crafts,book,book,,,,,,,,110,,,
cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,prop up a table or other surface,prop up a table or other surface,book,book,,,,,,,,113,121,106,
cmpl-59yQ3nFTwCh0Ju7tUhCjR3uhbKnbc,stacked and arranged to create interesting sculptures or shapes,stacked and arranged to create interesting sculptures or shapes,book,book,,,,,,,,110,109,,
cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,make artsuch as by decoupaging it onto another surface,make artsuch as by decoupaging it onto another surface,book,book,,,,,,,,110,,,
cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-59yQ6KeBFDs03m3DiOrFtkPWEdmK1,prop up a window or door,prop up a window or door,book,book,,,,,,,,113,123,121,
cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,Cut out images from the pages to make a collage,Cut out images from the pages to make a collage,book,book,,,,,,,,110,,,
cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,Decorate with it by wrapping it in pretty paper and ribbon,Decorate with it by wrapping it in pretty paper and ribbon,book,book,,,,,,,,110,,,
cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,Make a mobile out of old books by hanging them from the ceiling with string or wire,Make a mobile out of old books by hanging them from the ceiling with string or wire,book,book,,,,,,,,127,,,
cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,Turn it into a piece of art by painting or drawing on the cover,Turn it into a piece of art by painting or drawing on the cover,book,book,,,,,,,,110,,,
cmpl-59yQA83xSiX0uLxUO233dkSCcDg1V,Use it as a doorstop,Use it as a doorstop,book,book,,,,,,,,113,123,,
cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,Cut out the pages of an old book and use them as coasters,Cut out the pages of an old book and use them as coasters,book,book,,,,,,,,118,,,
cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,Make a lamp shade out of an old book,Make a lamp shade out of an old book,book,book,,,,,,,,127,110,123,
cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,Stack a few books together to use as a makeshift stool or table,Stack a few books together to use as a makeshift stool or table,book,book,,,,,,,,101,,,
cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,Tear out the pages of an old book and use them as wall art or,Tear out the pages of an old book and use them as wall art or,book,book,,,,,,,,110,,,
cmpl-59yQEubI50PnbC2ed2DRGlzz5mwTz,Use an old book as a door stop,Use an old book as a door stop,book,book,,,,,,,,113,123,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,A,A,book,book,,,,,,,,998,,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,coaster for your beverage,coaster for your beverage,book,book,,,,,,,,118,,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,given as a gifteven if you haven't read it yet!,given as a gifteven if you haven't read it yet!,book,book,,,,,,,,119,,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,make paper airplanes,make paper airplanes,book,book,,,,,,,,110,,,
cmpl-59yQHVhoEhfh6tcQ6R0iFiW2zt8Bi,start a fire,start a fire,book,book,,,,,,,,406,,,
